2026-06-24 15:06:03 [main] INFO  BTALoginSteps - Clicked login button
2026-06-24 15:06:03 [main] INFO  BTALoginSteps - Home page landed successfully
2026-06-24 15:06:04 [main] INFO  UiHelper - ✓ All 4 elements are successfully displayed
2026-06-24 15:06:04 [main] INFO  ExtentReportManager - ✓ ✓ All 4 elements are successfully displayed
2026-06-24 15:06:09 [main] INFO  BtaCaseManagement - Clicked the Case Management Section
2026-06-24 15:06:10 [main] INFO  UiHelper - ✓ SUCCESS MESSAGE VERIFIED: Comment submitted successfully.
2026-06-24 15:06:10 [main] INFO  ExtentReportManager - ✓ ✓ SUCCESS MESSAGE VERIFIED: Comment submitted successfully.
2026-06-24 15:06:11 [main] INFO  BtaAuditTrail - Clicked the Audit Trail Section
2026-06-24 15:06:16 [main] INFO  BtaTMCTransactions - Clicked the Large Report Section
2026-06-24 15:06:22 [main] INFO  BtaUserManagementSteps - Waited for few seconds to observe the result
2026-06-24 15:06:22 [main] INFO  Hooks - ========== UI Test Finished: Verify BTA functionality for Travel Agent Sub Admin User ==========
2026-06-24 15:06:22 [main] INFO  ExtentReportManager - ✓ Test PASSED: Verify BTA functionality for Travel Agent Sub Admin User
2026-06-24 15:06:23 [main] INFO  WebDriverManagerUtil - Browser closed and ThreadLocal cleared.
2026-06-24 15:06:23 [main] INFO  Hooks - Browser closed
2026-06-24 15:06:24 [main] INFO  ExtentReportManager - ExtentReport flushed → logs/reports/ExtentReport_24-06-2026_15-03-26.html
2026-06-24 15:06:24 [main] INFO  Hooks - ========== UI Test Started: Verify BTA functionality for Travel Agent User ==========
2026-06-24 15:06:24 [main] INFO  ExtentReportManager - Test created in ExtentReport: Verify BTA functionality for Travel Agent User
2026-06-24 15:06:24 [main] INFO  ExtentReportManager - Test Started
2026-06-24 15:06:24 [main] INFO  WebDriverManager - Using chromedriver 149.0.7827.155 (resolved driver for Chrome 149)
2026-06-24 15:06:24 [main] INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\V00450\.cache\selenium\chromedriver\win64\149.0.7827.155\chromedriver.exe
2026-06-24 15:06:26 [main] INFO  WebDriverManagerUtil - Browser initialized: chrome
2026-06-24 15:06:26 [main] INFO  Hooks - Browser initialized
2026-06-24 15:06:26 [main] INFO  ExtentReportManager - ✓ Browser initialized successfully
2026-06-24 15:06:31 [main] INFO  WebDriverManagerUtil - Navigated to: http://localhost:4203
2026-06-24 15:06:31 [main] INFO  BTALoginSteps - Navigated to BTA Portal
2026-06-24 15:06:31 [main] INFO  BTALoginSteps - Entered username and password
2026-06-24 15:06:32 [main] INFO  BTALoginSteps - Clicked login button
2026-06-24 15:06:32 [main] INFO  BTALoginSteps - Home page landed successfully
2026-06-24 15:06:33 [main] INFO  UiHelper - ✓ All 2 elements are successfully displayed
2026-06-24 15:06:33 [main] INFO  ExtentReportManager - ✓ ✓ All 2 elements are successfully displayed
2026-06-24 15:06:34 [main] INFO  UiHelper - ✓ SUCCESS MESSAGE VERIFIED: Comment submitted successfully.
2026-06-24 15:06:34 [main] INFO  ExtentReportManager - ✓ ✓ SUCCESS MESSAGE VERIFIED: Comment submitted successfully.
2026-06-24 15:06:34 [main] INFO  BtaTMCTransactions - Clicked the Large Report Section
2026-06-24 15:06:35 [main] INFO  Hooks - ========== UI Test Finished: Verify BTA functionality for Travel Agent User ==========
2026-06-24 15:06:35 [main] INFO  ExtentReportManager - ✓ Test PASSED: Verify BTA functionality for Travel Agent User
2026-06-24 15:06:37 [main] INFO  WebDriverManagerUtil - Browser closed and ThreadLocal cleared.
2026-06-24 15:06:37 [main] INFO  Hooks - Browser closed
2026-06-24 15:06:37 [main] INFO  ExtentReportManager - ExtentReport flushed → logs/reports/ExtentReport_24-06-2026_15-03-26.html
